package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.nexters.bandalart.android.navigation.BandalartNavHost,BandalartNavHost,1,0,1,0,0,0,0,0,1,1,
com.nexters.bandalart.android.ui.BandalartApp,BandalartApp,1,1,1,0,0,0,1,0,2,4,
com.nexters.bandalart.android.ui.rememberBandalartAppState,rememberBandalartAppState,1,0,0,0,0,0,0,0,1,2,
