package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.nexters.bandalart.android.feature.splash.SplashRoute,SplashRoute,1,1,1,0,0,0,1,0,2,3,
com.nexters.bandalart.android.feature.splash.SplashScreen,SplashScreen,1,1,1,0,0,0,0,0,6,7,
